"database_name","table_name","index_name","last_update","stat_name","stat_value","sample_size","stat_description"
"mysql","gtid_executed","PRIMARY","30/1/2020 20:19:38","n_diff_pfx01","0","1","source_uuid"
"mysql","gtid_executed","PRIMARY","30/1/2020 20:19:38","n_diff_pfx02","0","1","source_uuid,interval_start"
"mysql","gtid_executed","PRIMARY","30/1/2020 20:19:38","n_leaf_pages","1",,"Number of leaf pages in the index"
"mysql","gtid_executed","PRIMARY","30/1/2020 20:19:38","size","1",,"Number of pages in the index"
"sys","sys_config","PRIMARY","30/1/2020 20:19:38","n_diff_pfx01","6","1","variable"
"sys","sys_config","PRIMARY","30/1/2020 20:19:38","n_leaf_pages","1",,"Number of leaf pages in the index"
"sys","sys_config","PRIMARY","30/1/2020 20:19:38","size","1",,"Number of pages in the index"
"test","users","PRIMARY","25/12/2020 15:12:22","n_diff_pfx01","9","1","id"
"test","users","PRIMARY","25/12/2020 15:12:22","n_leaf_pages","1",,"Number of leaf pages in the index"
"test","users","PRIMARY","25/12/2020 15:12:22","size","1",,"Number of pages in the index"
"test","users1","PRIMARY","24/12/2020 14:56:00","n_diff_pfx01","2","1","id"
"test","users1","PRIMARY","24/12/2020 14:56:00","n_leaf_pages","1",,"Number of leaf pages in the index"
"test","users1","PRIMARY","24/12/2020 14:56:00","size","1",,"Number of pages in the index"
"zabbix","acknowledges","PRIMARY","30/1/2020 22:05:09","n_diff_pfx01","0","1","acknowledgeid"
"zabbix","acknowledges","PRIMARY","30/1/2020 22:05:09","n_leaf_pages","1",,"Number of leaf pages in the index"
"zabbix","acknowledges","PRIMARY","30/1/2020 22:05:09","size","1",,"Number of pages in the index"
"zabbix","acknowledges","acknowledges_1","30/1/2020 22:05:09","n_diff_pfx01","0","1","userid"
"zabbix","acknowledges","acknowledges_1","30/1/2020 22:05:09","n_diff_pfx02","0","1","userid,acknowledgeid"
"zabbix","acknowledges","acknowledges_1","30/1/2020 22:05:09","n_leaf_pages","1",,"Number of leaf pages in the index"
"zabbix","acknowledges","acknowledges_1","30/1/2020 22:05:09","size","1",,"Number of pages in the index"
"zabbix","acknowledges","acknowledges_2","30/1/2020 22:05:09","n_diff_pfx01","0","1","eventid"
"zabbix","acknowledges","acknowledges_2","30/1/2020 22:05:09","n_diff_pfx02","0","1","eventid,acknowledgeid"
"zabbix","acknowledges","acknowledges_2","30/1/2020 22:05:09","n_leaf_pages","1",,"Number of leaf pages in the index"
"zabbix","acknowledges","acknowledges_2","30/1/2020 22:05:09","size","1",,"Number of pages in the index"
"zabbix","acknowledges","acknowledges_3","30/1/2020 22:05:09","n_diff_pfx01","0","1","clock"
"zabbix","acknowledges","acknowledges_3","30/1/2020 22:05:09","n_diff_pfx02","0","1","clock,acknowledgeid"
"zabbix","acknowledges","acknowledges_3","30/1/2020 22:05:09","n_leaf_pages","1",,"Number of leaf pages in the index"
"zabbix","acknowledges","acknowledges_3","30/1/2020 22:05:09","size","1",,"Number of pages in the index"
"zabbix","actions","PRIMARY","30/1/2020 22:05:10","n_diff_pfx01","5","1","actionid"
"zabbix","actions","PRIMARY","30/1/2020 22:05:10","n_leaf_pages","1",,"Number of leaf pages in the index"
"zabbix","actions","PRIMARY","30/1/2020 22:05:10","size","1",,"Number of pages in the index"
"zabbix","actions","actions_1","30/1/2020 22:05:10","n_diff_pfx01","3","1","eventsource"
"zabbix","actions","actions_1","30/1/2020 22:05:10","n_diff_pfx02","3","1","eventsource,status"
"zabbix","actions","actions_1","30/1/2020 22:05:10","n_diff_pfx03","5","1","eventsource,status,actionid"
"zabbix","actions","actions_1","30/1/2020 22:05:10","n_leaf_pages","1",,"Number of leaf pages in the index"
"zabbix","actions","actions_1","30/1/2020 22:05:10","size","1",,"Number of pages in the index"
"zabbix","actions","actions_2","30/1/2020 22:05:10","n_diff_pfx01","5","1","name"
"zabbix","actions","actions_2","30/1/2020 22:05:10","n_leaf_pages","1",,"Number of leaf pages in the index"
"zabbix","actions","actions_2","30/1/2020 22:05:10","size","1",,"Number of pages in the index"
"zabbix","alerts","PRIMARY","30/1/2020 22:05:09","n_diff_pfx01","0","1","alertid"
"zabbix","alerts","PRIMARY","30/1/2020 22:05:09","n_leaf_pages","1",,"Number of leaf pages in the index"
"zabbix","alerts","PRIMARY","30/1/2020 22:05:09","size","1",,"Number of pages in the index"
"zabbix","alerts","alerts_1","30/1/2020 22:05:09","n_diff_pfx01","0","1","actionid"
"zabbix","alerts","alerts_1","30/1/2020 22:05:09","n_diff_pfx02","0","1","actionid,alertid"
"zabbix","alerts","alerts_1","30/1/2020 22:05:09","n_leaf_pages","1",,"Number of leaf pages in the index"
"zabbix","alerts","alerts_1","30/1/2020 22:05:09","size","1",,"Number of pages in the index"
"zabbix","alerts","alerts_2","30/1/2020 22:05:09","n_diff_pfx01","0","1","clock"
"zabbix","alerts","alerts_2","30/1/2020 22:05:09","n_diff_pfx02","0","1","clock,alertid"
"zabbix","alerts","alerts_2","30/1/2020 22:05:09","n_leaf_pages","1",,"Number of leaf pages in the index"
"zabbix","alerts","alerts_2","30/1/2020 22:05:09","size","1",,"Number of pages in the index"
"zabbix","alerts","alerts_3","30/1/2020 22:05:09","n_diff_pfx01","0","1","eventid"
"zabbix","alerts","alerts_3","30/1/2020 22:05:09","n_diff_pfx02","0","1","eventid,alertid"
"zabbix","alerts","alerts_3","30/1/2020 22:05:09","n_leaf_pages","1",,"Number of leaf pages in the index"
"zabbix","alerts","alerts_3","30/1/2020 22:05:09","size","1",,"Number of pages in the index"
"zabbix","alerts","alerts_4","30/1/2020 22:05:09","n_diff_pfx01","0","1","status"
"zabbix","alerts","alerts_4","30/1/2020 22:05:09","n_diff_pfx02","0","1","status,alertid"
"zabbix","alerts","alerts_4","30/1/2020 22:05:09","n_leaf_pages","1",,"Number of leaf pages in the index"
